,win_per_hand,win_per_hand_involve,p_agg_aggressive,p_agg_passive,f_agg_aggressive,f_agg_passive,t_agg_aggressive,t_agg_passive,r_agg_aggressive,r_agg_passive,vpip_loose,vpip_tight,pot_size_large,pot_size_small,post_num_less,post_num_many
74,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0
75,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
76,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
77,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1
78,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0
79,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1
80,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
81,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
82,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
83,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1
84,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
85,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0
86,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0
87,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
88,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0
89,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0
90,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0
91,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
92,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
93,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
94,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0
95,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
96,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
97,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
98,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
99,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
100,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
101,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
102,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
103,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0
104,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
105,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
106,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
107,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
108,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0
109,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
110,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
111,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0
112,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0
113,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1
114,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
115,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
116,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
117,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
118,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
119,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
120,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
121,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0
122,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1
123,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
124,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
125,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
126,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1
127,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
128,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
129,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
130,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
131,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
132,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
133,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
134,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
135,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
136,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
137,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
138,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1
139,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0
140,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
141,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
142,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1
143,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1
144,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1
145,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
146,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
147,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0
148,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
149,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1
150,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0
151,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0
152,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
153,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0
154,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
155,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0
156,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0
157,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
158,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
159,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
160,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
161,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0
162,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
163,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
164,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
165,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
166,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1
167,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
168,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
169,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
170,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
171,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
172,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
173,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
174,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
175,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
176,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0
177,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1
178,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0
179,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0
180,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1
181,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0
182,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
183,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1
184,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
185,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
186,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0
187,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
188,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0
189,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
190,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1
191,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
192,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
193,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
194,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0
195,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
196,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
197,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
198,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
199,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
200,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1
201,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
202,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
203,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
204,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1
205,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
206,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
207,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0
208,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1
209,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
210,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0
211,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0
212,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0
213,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0
214,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
215,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1
216,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1
217,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0
218,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0
219,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
220,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0
221,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
222,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
223,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1
224,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1
225,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0
226,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
227,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0
228,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1
229,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
230,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1
231,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0
232,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
233,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
234,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1
235,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0
236,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0
237,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
238,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1
239,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
240,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
241,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
242,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
243,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
244,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1
245,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1
246,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1
247,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0
248,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1
249,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
250,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
251,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1
252,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
253,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0
254,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
255,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0
256,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1
257,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
258,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1
259,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
260,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1
261,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
262,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
263,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0
264,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
265,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
266,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
267,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
268,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0
269,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0
270,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1
271,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0
272,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0
273,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
274,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
275,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1
276,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0
277,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
278,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
279,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
280,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
281,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
282,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
283,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1
284,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
285,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
286,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1
287,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
288,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
289,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1
290,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0
291,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0
292,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1
293,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1
294,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
295,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1
296,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
297,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
298,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0
299,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1
300,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1
301,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
302,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0
303,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
304,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1
305,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
306,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
307,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1
308,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
309,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
310,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1
311,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1
312,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
313,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1
314,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1
315,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0
316,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
317,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1
318,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0
319,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
320,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1
321,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
322,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
323,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1
324,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0
325,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1
326,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
327,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
328,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
